电影名,上映天数,总票房,实时票房,票房占比,排片占比,上座率,排座占比,场次,人次,场均人次,场均收入,平均票价,网址
前任3：再见前任,上映11天,13.06亿,1868.3万,70.17%,45.48%,5.37%,50.81%,11.19万,56.76万,5,158,33,http://dianying.nuomi.com/movie/detail?movieId=10190
星球大战：最后的绝地武士,上映4天,1.89亿,289.3万,10.94%,22.93%,1.47%,25.42%,5.64万,7.79万,2,48,37,http://dianying.nuomi.com/movie/detail?movieId=10323
芳华,上映25天,13.58亿,214.9万,8.13%,10.44%,4%,8.07%,2.57万,6.72万,3,79,32,http://dianying.nuomi.com/movie/detail?movieId=94906
二代妖精之今生有幸,上映11天,2.65亿,76.3万,2.85%,5.22%,2.77%,3.94%,1.28万,2.27万,2,55,33,http://dianying.nuomi.com/movie/detail?movieId=95034
妖猫传,上映18天,5.18亿,48.7万,1.84%,2.4%,3.97%,1.75%,5903,1.45万,3,78,33,http://dianying.nuomi.com/movie/detail?movieId=63014
寻梦环游记,上映46天,11.96亿,44.7万,1.69%,2.42%,3.57%,1.92%,5959,1.43万,3,71,31,http://dianying.nuomi.com/movie/detail?movieId=95322
妖铃铃,上映11天,3.51亿,42.3万,1.58%,5.04%,1.61%,3.83%,1.24万,1.28万,1,32,32,http://dianying.nuomi.com/movie/detail?movieId=95289
解忧杂货店,上映11天,2.16亿,39.8万,1.5%,3.41%,2.55%,2.39%,8384,1.27万,2,45,31,http://dianying.nuomi.com/movie/detail?movieId=95251
心理罪之城市之光,上映18天,2.21亿,6.4万,0.24%,0.47%,3.01%,0.31%,1161,1915,2,51,33,http://dianying.nuomi.com/movie/detail?movieId=94870
机器之血,上映18天,3.04亿,6.1万,0.23%,0.68%,1.95%,0.47%,1664,1892,2,34,32,http://dianying.nuomi.com/movie/detail?movieId=94973
卧底巨星,上映-4天,27.4万,4.8万,0.19%,0%,87.86%,0%,3,514,162,16154,99,http://dianying.nuomi.com/movie/detail?movieId=95271
帕丁顿熊2,上映32天,2.05亿,3.6万,0.14%,0.24%,3.77%,0.16%,588,1248,3,58,29,http://dianying.nuomi.com/movie/detail?movieId=95307
尼斯：疯狂的心,上映4天,32.5万,3.2万,0.13%,0.22%,2.94%,0.19%,537,1171,3,59,28,http://dianying.nuomi.com/movie/detail?movieId=95465
至爱梵高・星空之谜,上映32天,6788.5万,2.6万,0.1%,0.08%,8.78%,0.05%,200,904,5,128,30,http://dianying.nuomi.com/movie/detail?movieId=95340
小猫巴克里,上映10天,1072.1万,2万,0.08%,0.34%,1.51%,0.26%,824,824,1,24,25,http://dianying.nuomi.com/movie/detail?movieId=95431
咕噜咕噜美人鱼2,上映10天,974.2万,1.4万,0.05%,0.31%,1.19%,0.23%,761,566,1,16,23,http://dianying.nuomi.com/movie/detail?movieId=95362
邹碧华,上映50天,42万,1.4万,0.06%,0%,77.62%,0%,5,298,57,2812,50,http://dianying.nuomi.com/movie/detail?movieId=95407
至暗时刻,上映39天,3706.3万,0.8万,0.03%,0.02%,8.02%,0.01%,56,179,4,129,43,http://dianying.nuomi.com/movie/detail?movieId=95344
